Origin (UTC),Cell Number,Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
4/14/1927,120,Argentina,-32.477,-69.675,35,7.2 mb,,,,8,,
5/22/1927,121,China (see1927 Gulang earthquake),37.386,102.311,25,7.9 MS,,,,80000,200000,
7/11/1927,122,Judea and Samaria (see1927 earthquake in Palestine),32,35.5,33,6.3 UK,,,,361,,
8/24/1927,123,Taiwan,23.118,120.237,35,6.8 UK,,,,11,,
3/22/1928,124,Mexico,16.127,-96.505,35,7.5 MW,T,,,,,
3/31/1928,125,Turkey,38.1,27.1,,6.5 UK,,,,170,,
4/9/1928,126,Peru,-13.731,-70.628,35,6.8 MS,,,,10,,
4/14/1928,127,Bulgaria,42.402,25.667,15,6.8 UK,,,,107,107,
4/18/1928,128,Bulgaria,42.386,25.087,15,6.8 UK,,,,103,,
5/14/1928,129,Peru,-5.261,-78.559,35,7.2 MW,,,,29,,
8/21/1928,130,Iran,37.3,57.9,9,5.4 UK,,,,10,,
12/1/1928,131,Chile,-35.086,-71.683,35,7.7 MW,T,,,225,,
12/19/1928,132,Philippines,6.977,124.856,35,7.3 MW,T,,,93,,
1/17/1929,133,Venezuela,9.499,-64.381,35,6.9 UK,T,,,,,
5/1/1929,134,Turkmenistan(see 1929 Koppeh Dagh earthquake),37.957,57.693,25,7.1 MW,,,,3257,3300,
5/18/1929,135,Turkey,40.2,37.9,10,6.5 UK,,,,64,,
5/30/1929,136,Argentina,-34.768,-67.598,35,6.8 UK,,,,52,,
6/16/1929,137,New Zealand(see 1929 Murchison earthquake),-41.831,172.292,35,7.5 MW,T,,,17,,
7/13/1929,138,Iran,37.5,58,57,5.8 UK,,,,5,,
10/19/1929,139,Chile,-23.038,-68.737,35,7.4 mb,,,,,,
11/18/1929,140,Saint Pierre and Miquelon(see 1929 Grand Banks earthquake),44.539,-56.008,15,7.3 UK,T,,,52,,
5/5/1930,141,Myanmar,17.665,96.543,35,7.2 MW,"T,F",,,550,500,
5/6/1930,142,Iran (see1930 Salmas earthquake),38.152,44.685,25,7.1 MW,,,,2514,2500,
5/14/1930,143,China,26.8,103,,6.0 UK,,,,42,,
7/23/1930,144,Italy (see1930 Irpinia earthquake),41.05,15.367,,6.6 UK,,,,,,1404
10/30/1930,145,Italy,43.75,13.5,,6.0 UK,,,,18,,
11/21/1930,146,Albania,40.5,19.5,12,6.0 UK,,,,35,,
11/25/1930,147,Japan,34.977,139.103,35,6.9 MW,,,,272,0,
12/2/1930,148,Albania,40.3,19.6,4,5.0 UK,,,,25,,
12/3/1930,149,Myanmar,17.972,96.422,35,7.3 MW,,,,22,36,
12/8/1930,150,Taiwan,23.2,120.6,,6.3 UK,,,,4,,
12/24/1930,151,Argentina,-24.7,-66.3,30,6.0 UK,,,,36,,
12/25/1930,152,Japan,35.1,133,5,7.0 UK,,,,272,,
1/15/1931,153,Mexico,16.053,-96.614,35,7.8 MW,,,,68,,
2/2/1931,154,New Zealand(see 1931 Hawke's Bay earthquake),-39.772,176.025,35,7.7 MW,T,,,256,256,
2/10/1931,155,Indonesia,-5.433,102.458,35,7.1 MW,,,,18,,
3/8/1931,156,Kingdom of Yugoslavia,41.337,22.666,25,6.8 UK,,,,35,,
3/31/1931,157,Nicaragua(see 1931 Nicaragua earthquake),13.2,-85.7,,5.6 UK,F,,,1000,,
4/27/1931,158,Armenia,39.2,46,22,6.3 UK,,,,390,,
6/7/1931,159,England (see1931 Dogger Bank earthquake),54.08,1.5,,6.1 UK,,,,,,1
8/10/1931,160,China (see1931 Fuyun earthquake),46.571,89.965,35,7.9 MW,,,,10000,,
8/27/1931,161,Pakistan,29.473,67.172,35,7.1 MW,,,,200,,
9/21/1931,162,Japan,36.021,139.381,35,6.8 UK,,,,16,,
10/3/1931,163,Solomon Islands,-10.932,161.016,35,7.8 MW,T,,,50,,
11/2/1931,164,Japan,32.003,131.945,42.2,7.5 MW,T,,,1,,
2/3/1932,165,Cuba,19.77,-75.85,25,6.8 UK,,,,8,,
3/14/1932,166,Venezuela,8.149,-71.974,35,6.8 UK,,,,6,,
4/6/1932,167,China,31.4,115,15,6.0 UK,,,,6,,
5/14/1932,168,Indonesia,0.258,126.169,35,8.1 MW,,,,5,6,
5/21/1932,169,Nicaragua,12.364,-87.894,35,6.9 UK,,,,10,,
6/3/1932,170,Mexico (1932 Jalisco earthquake),19.457,-104.146,25,7.9 MW,T,,,60,,
6/18/1932,171,Mexico,19.452,-103.632,54.3,7.9 MW,T,,,52,,
6/22/1932,172,Mexico,19.028,-104.379,25,6.9 UK,T,,,75,,
9/26/1932,173,Greece (see1932 Ierissos earthquake),40.333,23.732,35,6.9 UK,T,,,491,,
12/25/1932,174,China (see1932 Changma earthquake),39.771,96.69,25,7.6 MW,,,,275,,
3/2/1933,175,Japan (see1933 Sanriku earthquake),39.224,144.622,35,8.4 UK,T,,,3064,3008,
3/11/1933,176,United States(see 1933 Long Beach earthquake),33.63,-118,,6.4 MW,,,,,,120
