Origin (UTC),Cell Number,Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
7/9/1980,637,Greece,39.257,23.008,17.2,6.6 MW,,1,1,1,,
7/22/1980,638,Iran,37.322,50.262,25,5.5 MW,,1,1,1,,
7/29/1980,639,Nepal,29.623,81.103,14.4,6.5 MW,,188,188,100,100,
8/9/1980,640,Guatemala,15.912,-88.49,16.9,6.5 MW,,2,2,2,2,
8/18/1980,641,Ecuador,-1.987,-80.002,55.9,5.9 MW,,8,8,8,8,
8/23/1980,642,India,32.922,75.693,14.5,5.5 MW,,15,15,15,13,
8/23/1980,643,India,32.893,75.776,11.3,5.5 MW,,,,13,,
9/23/1980,644,Japan,35.997,139.74,82.7,5.3 MW,,1,1,,2,
9/24/1980,645,Japan,35.525,140.062,71.5,6.0 MW,,2,2,,,
10/10/1980,646,Algeria,36.143,1.404,15,7.1 MW,,5000,5000,3500,2633,
10/10/1980,647,Algeria (see1980 El Asnam earthquake),36.213,1.577,12.4,6.2 MW,,,,,,
10/24/1980,648,Mexico (see1980 Central Mexico earthquake),18.175,-98.235,64.3,7.1 MW,,300,300,65,65,
11/12/1980,649,Peru,-13.347,-74.545,71,4.9 mb,,7,7,7,,
11/19/1980,650,India,27.392,88.795,38.5,6.3 MW,,0,0,3,0,
11/23/1980,651,Italy (see1980 Irpinia earthquake),40.788,15.31,6.9,6.9 MW,,3000,4900,2483,4689,
11/30/1980,652,Italy,40.766,15.295,15.1,4.9 ML,,0,1,,,
12/19/1980,653,Iran,34.472,50.643,12.7,6.2 MW,,26,26,26,20,
12/22/1980,654,Iran,34.427,50.634,16.4,5.7 MW,,3,3,3,4,
1/19/1981,655,Indonesia(see 1981 Irian Jaya earthquake),-4.513,139.283,20,6.6 MW,,305,1305,1300,,
1/23/1981,656,China (see1981 Dawu earthquake),30.956,101.168,10.9,6.5 MW,,150,150,126,150,
2/14/1981,657,Italy,40.995,14.614,4.9,4.9 ML,,4,12,,,
2/18/1981,658,South Africa,-26.625,26.607,33,4.7 mb,,0,4,4,,
2/24/1981,659,Greece,38.159,22.976,16.2,6.7 MW,,16,16,21,22,
2/25/1981,660,Greece,38.097,23.17,6,6.4 MW,,,,,,
3/4/1981,661,Greece,38.197,23.3,14.9,6.2 MW,,0,1,,,
3/7/1981,662,Greece,38.181,23.335,37.1,5.4 MW,,1,1,1,,
3/10/1981,663,Greece,39.382,20.813,36.4,5.4 MW,L,0,2,2,2,
4/18/1981,664,Peru,-13.116,-74.373,40.8,5.5 MW,,8,8,8,8,
6/11/1981,665,Iran,29.858,57.686,17.3,6.6 MW,,3000,3000,3000,2000,
6/13/1981,666,Afghanistan,36.198,67.836,21,5.6 MW,,1,1,1,,
6/21/1981,667,Chile,-20.276,-70.384,36,5.7 MW,,,,,10,
6/22/1981,668,Peru,-13.185,-74.463,15.6,5.8 MW,,6,6,6,,
7/28/1981,669,Iran,29.976,57.767,13.6,7.2 MW,,1500,1500,1500,1200,
9/12/1981,670,Pakistan,35.685,73.597,14.7,6.1 MW,L,220,220,229,250,
10/16/1981,671,Chile,-33.178,-73.033,44.9,7.1 MW,,0,1,1,,
10/18/1981,672,Colombia,8.111,-72.501,39.3,5.9 MW,L,15,15,15,10,
10/25/1981,673,Mexico,18.115,-102.009,19,7.2 MW,,3,3,9,3,
12/12/1981,674,Pakistan,29.912,67.08,35,4.6 mb,,6,6,6,,
1/23/1982,675,Taiwan,23.951,121.752,11.8,6.0 MW,,,,1,,
3/23/1982,676,Peru,-12.341,-77.538,59.1,5.1 mb,,2,2,2,,
3/28/1982,677,Peru,-12.743,-76.01,90.8,6.3 MW,,3,3,3,3,
4/13/1982,678,South Africa,-27.926,26.783,5,5.0 mb,L,0,1,1,,
6/7/1982,679,Mexico,16.518,-98.347,18.9,6.9 MW,,9,9,9,,
6/15/1982,680,China,31.871,99.872,10.3,5.6 MW,,10,10,11,10,
6/19/1982,681,El Salvador(see 1982 El Salvador earthquake),13.337,-89.313,72.8,7.3 MW,L,43,43,43,,
9/29/1982,682,Honduras,14.494,-89.102,13.9,5.6 MW,,3,3,3,,
11/15/1982,683,Algeria,35.585,1.361,7.1,5.2 MW,,3,3,3,,
11/16/1982,684,Albania,40.78,19.666,21.9,5.6 MW,,1,1,1,1,
12/13/1982,685,Yemen (see1982 North Yemen earthquake),14.675,44.223,7,6.2 MW,L,2800,2800,2800,1507,
12/16/1982,686,Afghanistan,36.136,68.933,35.5,6.4 MW,,450,450,500,500,
12/25/1982,687,Indonesia,-8.43,122.97,6.7,5.9 MW,L,13,13,13,13,
2/13/1983,688,China,39.994,75.173,9,6.2 MW,,0,0,1,,
2/25/1983,689,Yugoslavia,41.959,21.54,24,4.7 mb,,0,12,,12,
3/15/1983,690,Japan,34.797,137.58,34.5,5.4 MW,,1,1,,,
3/25/1983,691,Iran,36.042,52.295,14.6,5.4 MW,L,30,30,100,30,
3/31/1983,692,Colombia,2.439,-76.659,30.1,5.6 MW,,300,300,241,250,
4/3/1983,693,Costa Rica,8.721,-83.078,25,7.4 MW,,1,6,1,10,
4/4/1983,694,Indonesia,5.722,94.687,85.6,7.0 MW,,,,,0,
4/5/1983,695,China,39.972,75.215,10.7,5.8 MW,,,,,,
4/12/1983,696,Peru,-4.846,-78.091,125.9,7.0 MW,,,,10,,
5/26/1983,697,Japan,40.473,139.091,17,7.7 MW,T,104,107,104,102,
7/3/1983,698,Costa Rica,9.612,-83.707,14.5,6.3 MW,L,2,2,2,2,
7/5/1983,699,Turkey (see1983 Biga earthquake),40.309,27.254,2.6,6.1 MW,,5,5,5,,
7/20/1983,700,Italy,37.502,15.151,33,4.4 mb,,0,1,,,
7/22/1983,701,Iran,36.942,49.213,20,5.6 mb,,3,3,3,3,
8/2/1983,702,France,49.15,6.698,0,3.5 ML,,0,1,1,,
8/8/1983,703,Japan,35.507,139.045,18.1,5.6 MW,L,1,1,1,1,
8/17/1983,704,Philippines,18.206,120.785,29,6.6 MW,"L,Lq",16,16,24,19,
10/4/1983,705,Chile,-26.539,-70.502,23.9,7.6 MW,"T,L",5,5,5,,
10/25/1983,706,Indonesia,1.151,120.841,26.6,6.5 MW,,,,2,,
10/28/1983,707,United States(see 1983 Borah Peak earthquake),44.078,-113.8,16,6.9 MW,L,2,2,2,2,
10/30/1983,708,Turkey (see1983 Erzurum earthquake),40.327,42.176,15,6.6 MW,,1342,1342,1400,1346,
11/6/1983,709,China,35.223,115.204,32.1,5.5 MW,,34,34,45,34,
11/8/1983,710,Belgium,50.696,5.346,10,4.9 ML,,1,2,1,2,
12/16/1983,711,Tajikistan,39.351,72.929,13.3,5.9 MW,,,,,12,
12/21/1983,712,Papua New Guinea,-5.446,151.895,42.2,6.2 MW,,,,10,10,
12/22/1983,713,Guinea,11.862,-13.511,7.8,6.3 MW,,443,643,643,275,
12/30/1983,714,Afghanistan,36.405,70.677,215.9,7.4 MW,,26,26,12,24,
1/8/1984,715,Indonesia,-2.866,118.726,43.6,6.7 MW,T,2,2,2,2,
1/25/1984,716,United States,47.5,-116,1,2.3 ML,,0,1,1,,
2/1/1984,717,Afghanistan,34.564,70.446,9,6.1 MW,,1,1,1,1,
2/16/1984,718,Afghanistan,36.447,70.84,208.1,6.4 MW,,4,4,4,4,
3/6/1984,719,Japan,29.372,138.871,459.1,7.4 MW,,0,1,,,
4/22/1984,720,Italy,43.616,10.194,15,4.7 ML,,0,3,,,
5/7/1984,721,Italy,41.738,13.889,21.4,5.9 MW,,3,3,7,3,
5/11/1984,722,Italy,41.755,13.901,10.9,5.5 MW,,0,3,,,
5/13/1984,723,Bosnia and Herzegovina,42.974,17.829,37,5.4 MW,,0,1,1,,
5/21/1984,724,China,32.604,121.602,43.8,6.0 MW,,,,13,,
6/20/1984,725,Canada,46.58,-80.8,1,3.4 Lg,,0,4,4,,
6/24/1984,726,Dominican Republic,17.981,-69.371,45.1,6.7 MW,,,,5,,
6/24/1984,727,Dominican Republic,18.039,-69.233,24.8,5.2 MW,,5,5,,,
9/13/1984,728,Japan (see1984 Otaki earthquake),35.801,137.466,1.1,6.2 MW,L,24,24,29,20,
9/15/1984,729,United States,47.46,-115.987,1,2.8 ML,,0,1,,,
9/18/1984,730,Turkey,40.892,42.241,10,5.5 MW,,3,3,3,3,
10/18/1984,731,Turkey,40.711,42.447,35,5.4 MW,,3,3,3,3,
12/30/1984,732,India,24.684,92.864,3.4,6.0 MW,,20,20,,20,
1/26/1985,733,Argentina(see 1985 Mendoza earthquake),-33.109,-68.593,19.2,5.9 MW,,6,6,6,6,
2/2/1985,734,Iran,28.352,52.972,13.8,5.4 MW,,1,1,1,1,
3/3/1985,735,Chile (see1985 Santiago earthquake),-33.132,-71.762,40,7.9 MW,"T,Lq",177,177,177,180,
3/14/1985,736,Italy,41.631,14.263,14,4.3 ML,,0,1,,,
3/17/1985,737,Chile (see1985 Santiago earthquake),-32.712,-71.68,22,6.5 MW,,0,1,,,
3/18/1985,738,Philippines,7.776,123.512,26.5,6.5 MW,,0,2,,2,
3/19/1985,739,Bolivia,-18.567,-63.6,29.7,5.8 MW,,2,2,2,,
3/29/1985,740,China,29.35,104.953,35,4.9 mb,,1,1,2,,
4/9/1985,741,Chile (see1985 Pichilemu earthquake),-34.134,-71.535,38,7.1 MW,,0,2,,,
4/18/1985,742,China (see1985 Luquan earthquake),25.891,102.885,4.1,5.7 MW,,23,23,22,,
4/24/1985,743,Philippines,16.541,120.812,5.3,6.1 MW,L,6,6,6,,
5/10/1985,744,Papua New Guinea,-5.601,151.056,47.2,7.2 MW,L,1,1,1,,
7/29/1985,745,Afghanistan,36.165,70.857,100.1,7.4 MW,L,5,5,5,5,
8/23/1985,746,China (see1985 Wuqia earthquake),39.447,75.264,4.3,6.9 MW,,71,71,67,67,
9/11/1985,747,China,39.356,75.415,21.2,6.1 MW,,4,4,3,,
9/15/1985,748,Indonesia,-4.064,136.093,4.2,6.3 MW,,10,10,10,10,
9/19/1985,749,Mexico (see1985 Mexico City earthquake),18.42,-102.38,15,8.0 MW,"T,L",9500,9500,9500,9500,
9/21/1985,750,Mexico,17.831,-101.623,17.6,7.5 MW,T,,,,,
10/13/1985,751,Tajikistan,40.337,69.81,15.9,5.8 MW,L,29,29,,29,
10/27/1985,752,Algeria,36.386,6.846,30.4,5.8 MW,,6,6,5,30,
12/25/1985,753,Italy,37.688,15.068,10,4.3 mb,,1,1,1,,
1/11/1986,754,Peru,-9.512,-77.437,56.7,5.1 MW,,1,1,1,1,
3/12/1986,755,United States,47.47,-115.8,1,2.0 ML,,0,1,1,,
4/5/1986,756,Peru,-13.402,-71.757,49,5.2 MW,L,16,16,16,15,
4/26/1986,757,India,32.118,76.397,10.2,5.5 MW,,6,6,6,6,
5/5/1986,758,Turkey,37.999,37.781,4.1,6.0 MW,,15,15,15,15,
5/13/1986,759,Georgia,41.404,43.704,10,5.7 MW,,2,2,2,2,
5/20/1986,760,Taiwan,24.146,121.643,15.8,6.2 MW,,1,1,1,,
6/6/1986,761,Turkey,38.007,37.91,22.5,5.8 MW,L,1,1,1,,
6/11/1986,762,Venezuela,10.573,-62.911,13.9,6.2 MW,,2,2,2,,
7/12/1986,763,Iran,29.911,51.557,5.4,5.7 MW,,1,1,1,1,
7/13/1986,764,United States,33.066,-117.84,15,5.8 MW,L,0,0,1,0,
7/18/1986,765,Venezuela,10.743,-69.424,8.3,5.4 MW,,0,1,,1,
8/6/1986,766,China,29.28,100.754,10.8,5.3 MW,,,,2,,
8/30/1986,767,Romania(see 1986 Vrancea earthquake),45.521,26.271,136,7.2 MW,,2,2,2,,
9/13/1986,768,Greece,37.072,22.176,21.7,6.0 MW,,20,20,21,20,
10/10/1986,769,El Salvador(see 1986 San Salvador earthquake),13.791,-89.165,10.9,7.3 MW,L,950,1000,1500,1100,
11/14/1986,770,Taiwan,23.974,121.727,34,7.3 MW,L,15,15,13,,
12/7/1986,771,Bulgaria,43.278,26.003,4.8,5.6 MW,,3,3,3,3,
12/18/1986,772,Poland,50.304,19.235,10,2.8 ML,,0,3,3,,
1/22/1987,773,Italy,43.515,10.154,21,4.2 ML,,0,2,,,
1/26/1987,774,Algeria,35.919,1.387,11.7,4.9 mb,,1,1,1,1,
2/8/1987,775,Papua New Guinea,-6.025,147.665,42.3,7.3 MW,"T,L,Lq",0,3,3,1,
3/2/1987,776,New Zealand(see 1987 Edgecumbe earthquake),-38.015,176.921,15,6.5 MW,L,0,1,,1,
3/5/1987,777,Chile,-24.395,-70.1,46.3,7.5 MW,T,1,1,1,,
3/6/1987,778,Ecuador (see1987 Ecuador earthquakes),0.04,-77.666,12.6,6.4 MW,L,,,,5000,
3/6/1987,779,Ecuador,0.082,-77.787,17.1,7.1 MW,L,1000,5000,5000,,
3/12/1987,780,Poland,51.369,20.206,10,2.6 ML,,0,3,3,,
3/18/1987,781,Japan,32.051,131.785,54,6.6 MW,"T,L",1,2,1,,
4/25/1987,782,Indonesia,2.405,98.905,10,6.4 MW,,2,2,2,2,
5/2/1987,783,Italy,44.809,10.68,15,5.2 ML,,0,1,,,
5/18/1987,784,Philippines,8.267,125.324,19.1,6.2 MW,,1,1,1,,
5/23/1987,785,Philippines,8.023,125.479,22.4,5.7 MW,,1,1,1,,
5/29/1987,786,Iran,34.059,48.285,25,5.3 MW,,2,2,2,2,
6/18/1987,787,Philippines,17.324,121.353,13.9,5.9 MW,L,0,9,9,,
8/2/1987,788,China,25.002,115.566,11.2,4.9 mb,,0,0,3,0,
8/8/1987,789,Chile,-19.092,-70.005,70.7,7.2 MW,L,5,5,5,5,
8/13/1987,790,Peru,-17.9,-70.909,37.6,6.5 MW,,1,1,1,,
9/22/1987,791,Ecuador,-1.009,-78.031,4.8,6.3 MW,L,2,2,2,2,
10/1/1987,792,United States(see Whittier Narrows earthquake),34.061,-118.135,14.4,5.9 MW,,8,8,8,8,
10/2/1987,793,Peru (see1987 Santiago de Chuco earthquake),-8.166,-77.961,29.8,5.6 MW,,3,3,3,,
10/4/1987,794,United States(see Whittier Narrows earthquake),34.02,-118.137,11.3,5.2 MW,,0,1,,,
11/24/1987,795,United States,33.257,-115.756,15,6.0 MW,,0,2,2,2,
11/26/1987,796,Indonesia,-8.259,124.149,27.3,6.5 MW,"T,L",37,37,83,125,
12/17/1987,797,Japan,35.421,140.322,47.3,6.5 MW,,2,2,2,2,
1/5/1988,798,South Africa,-26.905,26.694,15,5.2 mb,,0,8,8,8,
2/6/1988,799,Bangladesh,24.713,91.579,35,5.8 MW,,2,2,2,2,
2/11/1988,800,United States,34.08,-118.05,12,4.8 ML,,0,1,,,
6/19/1988,801,Philippines,12.355,121.085,12.7,6.2 MW,,2,2,1,,
7/20/1988,802,Taiwan,23.986,121.679,51,5.9 MW,L,1,1,1,,
8/6/1988,803,Myanmar,25.105,95.126,90.5,7.2 MW,L,3,35,3,2,
8/10/1988,804,Solomon Islands,-10.32,160.933,34,7.5 MW,T,0,1,1,1,
8/11/1988,805,Iran,29.944,51.585,7.8,5.8 MW,,,,,1,
8/11/1988,806,Iran,29.886,51.655,11,6.0 MW,,1,1,1,,
8/20/1988,807,Nepal (see1988 Nepal earthquake),26.763,86.618,57,6.8 MW,Lq,998,998,1450,709,
9/2/1988,808,Czech Republic,49.886,18.489,10,3.8 ML,,0,3,3,,
9/6/1988,809,Papua New Guinea,-6.062,146.226,0,4.3 ML,L,,,74,,
11/3/1988,810,Guatemala,13.908,-90.501,75.2,6.6 MW,L,5,5,5,5,
11/6/1988,811,China,22.909,99.681,6.5,7.0 MW,L,730,730,748,,
11/6/1988,812,China,23.186,99.411,8.9,6.4 mb,,,,,,
12/7/1988,813,Armenia (see1988 Spitak earthquake),40.919,44.118,6.7,6.7 MW,,25000,25000,25000,25000,
1/22/1989,814,Tajikistan,38.461,68.699,3.4,5.3 mb,L,,274,274,274,
2/19/1989,815,Japan,36.038,139.86,45.4,5.5 MW,,1,1,,,
3/9/1989,816,Malawi,-13.683,34.473,27.4,5.6 MW,,,,,9,
3/10/1989,817,Papua New Guinea,-4.332,152.842,49.6,5.8 MW,L,0,1,1,,
3/10/1989,818,Malawi (see1989 Malawi earthquake),-13.708,34.485,30,6.3 MW,,9,9,9,,
4/15/1989,819,China,29.955,99.202,13.8,6.4 MW,,11,11,8,8,
4/25/1989,820,Mexico,16.779,-99.275,19,6.9 MW,,3,3,3,3,
5/7/1989,821,China,23.538,99.519,25.4,5.6 MW,,1,1,1,,
5/27/1989,822,Iran,30.148,50.892,15,6.0 MW,,0,0,,100,
6/12/1989,823,Bangladesh,21.927,89.872,20,5.8 MW,,1,1,1,1,
6/26/1989,824,United States Minor Outlying Islands,19.417,-155.149,9,6.4 MW,"T,L",0,0,,5,
7/21/1989,825,China,30.001,99.362,5.9,5.6 MW,,,,3,,
8/1/1989,826,Indonesia,-4.48,138.983,14,6.1 MW,L,0,120,120,120,
8/3/1989,827,Russian Federation,43.536,45.355,35,5.1 MW,,1,1,1,,
8/8/1989,828,United States,37.134,-121.925,15,5.4 ML,,1,1,1,,
8/20/1989,829,Djibouti,11.746,41.96,12,6.5 MW,L,2,2,2,,
9/22/1989,830,China,31.555,102.422,10.9,6.1 MW,,0,0,1,0,
10/18/1989,831,United States(see 1989 Loma Prieta earthquake),37.11,-121.764,16,6.9 MW,"T,L",62,62,63,62,
10/18/1989,832,China,39.959,113.94,5.6,5.4 MW,,29,29,29,29,
10/18/1989,833,China,40.014,113.933,4.5,5.6 MW,,,,17,,
10/29/1989,834,Algeria,36.706,2.441,6,5.9 MW,,30,30,35,22,
10/29/1989,835,Algeria,36.706,2.437,16.6,5.6 MS,,,,,,
11/20/1989,836,China,29.883,106.826,24.7,5.2 mb,,4,4,7,4,
11/20/1989,837,Iran,29.898,57.716,14.9,5.9 MW,,3,3,3,,
12/15/1989,838,Philippines,8.365,126.686,24,7.5 MW,,1,1,2,,
12/27/1989,839,Australia(see 1989 Newcastle earthquake),-33.02,151.602,9.7,5.5 MD,,12,12,9,,
2/8/1990,840,Philippines,9.767,124.631,26,6.7 MW,,,,,1,
2/9/1990,841,China,31.745,120.982,11.9,5.0 mb,,0,0,2,,
3/4/1990,842,Pakistan,28.906,66.354,8.3,6.0 MW,,11,11,11,11,
3/26/1990,843,Philippines,9.283,125.564,51.1,5.9 MW,,1,1,1,,
4/18/1990,844,Indonesia,1.195,122.816,26,7.6 MW,,3,3,3,5,
4/26/1990,845,China,36.059,100.278,9.3,6.2 MW,,,,119,126,
4/26/1990,846,China,36.059,100.278,9.3,6.4 MW,L,126,126,,,
5/5/1990,847,Italy,40.665,15.851,1.7,5.8 MW,,,,,2,
5/5/1990,848,Italy,40.712,15.805,9.1,5.8 MW,,0,2,,,
5/30/1990,849,Peru,-6.022,-77.197,24,6.5 MW,,135,135,135,,
5/30/1990,850,Romania,45.855,26.649,89,6.9 MW,,13,14,14,22,
6/9/1990,851,Peru,-6.1,-77.133,23.5,5.5 MW,,1,1,1,,
6/14/1990,852,Philippines,11.39,122.045,18.1,7.1 MW,,4,4,4,4,
6/14/1990,853,Kazakhstan,47.877,85.064,36,6.6 MW,,1,1,3,1,
6/17/1990,854,Pakistan,27.39,65.665,13.7,6.1 MW,,6,6,,0,
6/20/1990,855,Iran (see1990 Manjil-Rudbar earthquake),37.001,49.216,17.9,7.4 MW,L,45000,45000,35000,40000,
6/21/1990,856,Iran,36.631,49.785,12.4,5.7 MW,,20,20,20,,
7/13/1990,857,Afghanistan,36.448,70.775,209.8,6.3 MW,L,0,43,43,,
7/16/1990,858,Philippines(see 1990 Luzon earthquake),15.721,121.18,24.3,7.7 MW,"L,Lq",1621,1621,2430,2412,
8/11/1990,859,Ecuador,-0.172,-78.483,18.4,5.3 MW,L,4,4,4,4,
9/26/1990,860,South Africa,-28.09,26.837,15,5.0 MW,,0,2,2,,
10/18/1990,861,South Africa,-26.39,27.349,5,4.0 Lg,,0,10,10,10,
10/20/1990,862,China,37.096,103.718,8,5.7 MW,,1,1,2,1,
10/25/1990,863,Afghanistan,35.09,70.429,110.2,5.8 MW,,11,11,11,,
11/6/1990,864,Iran,28.242,55.457,11.1,6.6 MW,,22,22,22,21,
11/15/1990,865,Indonesia,3.939,97.405,30,6.7 MW,L,1,1,7,1,
12/13/1990,866,Italy,37.286,15.402,12.1,5.6 MW,,19,19,12,19,
12/13/1990,867,Taiwan,23.883,121.645,9.4,6.3 MW,,2,2,2,,
12/21/1990,868,Greece,40.977,22.346,13,6.1 MW,,1,1,1,1,
12/22/1990,869,Costa Rica,9.982,-84.229,11.1,5.9 MW,,1,2,1,1,
1/5/1991,870,Myanmar,23.559,95.89,16.2,6.9 MW,,,,2,0,
1/31/1991,871,Afghanistan,35.944,70.403,142,6.8 MW,L,,,703,3,
2/13/1991,872,France,44.885,6.76,5,3.8 ML,L,0,9,9,,
3/25/1991,873,China,39.947,113.989,15,5.4 MW,,0,0,1,,
4/5/1991,874,Peru,-5.977,-77.081,20,6.9 MW,,53,53,53,,
4/18/1991,875,Tajikistan,37.464,68.269,10.5,5.5 MW,L,,,3,24,
4/22/1991,876,Costa Rica,9.673,-83.072,12.9,7.6 MW,"T,L,Lq",75,75,75,47,
4/24/1991,877,Turkey,39.613,41.169,35,4.5 mb,,1,1,1,,
4/29/1991,878,Georgia (see1991 Racha earthquake),42.426,43.667,13.4,7.0 MW,L,114,184,184,270,
5/3/1991,879,Georgia,42.68,43.245,3.7,5.6 MW,L,0,3,3,,
5/4/1991,880,Panama,9.547,-82.44,6.9,6.2 MW,Lq,0,0,2,0,
5/26/1991,881,Malaysia,5.858,116.652,48.6,5.1 mb,,0,1,,,
6/15/1991,882,Georgia,42.406,44.011,6,6.2 MW,L,8,8,8,8,
6/15/1991,883,Philippines,15.165,120.316,46.4,5.6 MW,,0,137,,,
6/21/1991,884,El Salvador,13.408,-89.633,69.8,5.8 MW,F,0,1,1,,
6/28/1991,885,United States,34.237,-118.011,11,5.6 MW,,1,2,1,2,
7/4/1991,886,Indonesia(see 1991 Kalabahi earthquakes),-8.146,124.587,29,6.7 MW,T,23,23,23,28,
7/12/1991,887,Romania,45.393,20.981,15,5.5 MW,,2,2,2,,
7/23/1991,888,Peru,-15.707,-71.721,24.2,5.2 MW,L,12,92,92,11,
7/24/1991,889,Iraq,36.598,44.061,20,5.5 MW,,20,20,20,,
8/9/91,890,Japan,40.5,142.5,35,7.2 MW,T,,,,,
9/18/1991,891,Guatemala,14.604,-90.932,10.6,6.2 MW,L,25,25,25,14,
10/19/1991,892,India (see1991 Uttarkashi earthquake),30.725,78.775,9.3,6.8 MW,L,2000,2000,2000,1500,
11/19/1991,893,Colombia,4.552,-77.356,21,7.2 MW,,2,2,2,2,
11/22/1991,894,Yemen,13.887,44.068,10,4.7 mb,,10,10,11,10,
11/28/1991,895,Iran,36.826,49.582,18.4,5.6 MW,L,1,1,1,,
2/14/1992,896,South Africa,-26.42,27.43,5,3.4 Lg,,0,4,4,,
3/4/1992,897,Iran,31.605,50.758,25,5.1 MW,L,6,6,6,5,
3/7/1992,898,Costa Rica,10.228,-84.302,79,6.5 MW,,0,1,,,
3/13/1992,899,Turkey (see1992 Erzincan earthquake),39.727,39.651,7,6.6 MW,L,498,,652,653,
4/13/1992,900,Netherlands,51.181,5.844,18,5.4 MW,,0,1,,1,
4/23/1992,901,Myanmar,22.407,98.848,7.9,6.1 MW,,0,0,4,,
5/15/1992,902,Uzbekistan,41.001,72.449,37.1,6.2 MS,L,3,3,3,9,
5/20/1992,903,Pakistan,33.318,71.272,12.9,6.0 MW,,36,36,36,36,
6/28/1992,904,United States(see 1992 Landers earthquake),34.19,-116.52,15,7.3 MW,,1,3,1,1,
8/19/1992,905,Kyrgyzstan,42.111,73.588,17.1,7.2 MW,"L,Lq",61,75,75,54,
8/28/1992,906,Pakistan,29.211,66.82,6.4,5.5 MW,,4,4,4,4,
9/2/1992,907,Nicaragua(see 1992 Nicaragua earthquake),11.727,-87.38,45,7.6 MW,T,,184,184,179,
9/8/1992,908,Iran,29.132,52.147,26.8,5.2 mb,L,1,1,1,,
9/11/1992,909,Democratic Republic of the Congo,-6.151,26.66,11,6.3 MW,,8,8,8,9,
10/12/1992,910,Egypt (see1992 Cairo earthquake),29.714,31.144,22,5.8 MW,,552,552,552,552,
10/18/1992,911,Colombia,7.093,-76.764,3.5,7.1 MW,"L,Lq",1,11,11,,
10/22/1992,912,Egypt,29.755,31.535,10,4.2 MD,,4,4,4,,
10/23/1992,913,Morocco,31.275,-4.291,25.2,5.5 MW,,2,2,2,,
10/23/1992,914,Georgia,42.561,45.096,16,6.4 MW,L,1,1,1,1,
12/12/1992,915,Indonesia(see 1992 Flores earthquake),-8.498,121.832,28,7.7 MW,"T,L",,2519,1740,2500,
12/18/1992,916,China,26.328,100.752,21.8,5.0 mb,,1,1,1,,
1/8/1993,917,South Africa,-28.028,26.8,5,2.7 ML,,0,6,6,,
1/13/1993,918,Jamaica,18.052,-76.594,14.2,5.5 MW,,1,1,1,,
1/15/1993,919,Japan,43.022,144.194,94.8,7.6 MW,L,,,2,2,
1/15/1993,920,Japan,43.024,144.141,102,7.6 MW,L,2,2,,,
1/31/1993,921,China,25.826,101.415,25,4.7 ML,,2,2,,,
2/2/1993,922,China,42.2,86.144,32,5.7 mb,,,,4,,
3/12/1993,923,Wallis and Futuna,-14.409,-178.162,10,6.3 MW,,5,5,5,5,
3/20/1993,924,China,29.009,87.356,14.1,6.2 MW,,2,2,,,
3/26/1993,925,Greece,37.613,21.526,15,5.4 MW,,0,0,,1,
4/18/1993,926,Peru,-11.721,-76.513,106,6.2 MW,L,3,6,6,6,
6/22/1993,927,Iran,30.179,50.826,12.6,5.3 MW,L,0,0,,24,
7/10/1993,928,Costa Rica,9.824,-83.612,16.5,5.8 MW,L,1,2,1,3,
7/12/1993,929,Japan (see1993 Hokkaid_ earthquake),42.892,139.247,17,7.7 MW,"T,LF",200,243,230,239,
7/22/1993,930,Colombia,6.38,-71.206,20,6.0 MW,,2,2,2,,
8/1/1993,931,Sudan,15.401,31.701,11.8,5.5 MW,,2,2,2,3,
9/10/1993,932,Mexico,14.758,-92.646,34,7.2 MW,L,1,1,1,,
9/21/1993,933,United States,42.305,-122.004,11,6.0 MW,L,1,2,1,,
9/29/1993,934,India (see1993 Latur earthquake),18.06,76.478,14.1,6.2 MW,,9748,9748,9748,9748,
10/11/1993,935,Japan,32.03,137.926,351,6.9 MW,,0,1,,,
10/13/1993,936,Papua New Guinea,-5.844,146.131,25,6.9 MW,L,,60,60,53,
10/16/1993,937,Papua New Guinea,-5.877,146.28,27,6.3 MW,,3,3,3,,
11/22/1993,938,Nicaragua,11.718,-86.084,112.6,5.9 MW,,0,1,,,
11/30/1993,939,China,39.326,75.505,12.7,5.6 MW,,0,0,2,,
1/17/1994,940,United States(see 1994 Northridge earthquake),34.164,-118.563,19,6.7 MW,"L,Lq",60,60,60,,33[8]
1/21/1994,941,Indonesia,1.043,127.773,20,6.9 MW,,7,7,7,7,
2/5/1994,942,Uganda,0.558,30.081,14,6.2 MW,L,2,4,8,7,
2/15/1994,943,Indonesia,-4.999,104.255,23,6.8 MW,L,,207,207,207,
2/23/1994,944,Iran,30.788,60.532,7,6.1 MW,,6,6,6,9,
3/1/1994,945,Iran,29.143,52.638,12.9,6.0 MW,L,2,2,2,3,
3/2/1994,946,Haiti,19.941,-72.814,6.7,5.4 MW,,4,4,4,,
5/1/1994,947,Afghanistan,36.934,67.124,17.5,6.1 MW,,,,,160,
5/26/1994,948,Morocco,35.25,-4.089,10,5.9 MW,,0,0,2,,
6/2/1994,949,Indonesia(see 1994 Java earthquake),-10.409,112.934,34.5,7.8 MW,T,,277,277,,
